127.0.0.1 - - [08/Oct/2023:22:58:04 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Oct/2023:22:58:06 +0530] "GET /HotelLivya_ServletApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2023:22:58:06 +0530] "GET /HotelLivya_ServletApp/hotel.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2023:22:58:06 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Oct/2023:22:58:11 +0530] "GET /HotelLivya_ServletApp/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2023:22:58:11 +0530] "GET /HotelLivya_ServletApp/hotel1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2023:22:58:17 +0530] "POST /HotelLivya_ServletApp/login HTTP/1.1" 200 1579
0:0:0:0:0:0:0:1 - - [08/Oct/2023:22:58:24 +0530] "GET /HotelLivya_ServletApp/Register.html HTTP/1.1" 200 1594
0:0:0:0:0:0:0:1 - - [08/Oct/2023:22:58:24 +0530] "GET /HotelLivya_ServletApp/hotel2.jpg HTTP/1.1" 200 231241
0:0:0:0:0:0:0:1 - - [08/Oct/2023:22:58:37 +0530] "POST /HotelLivya_ServletApp/login HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [08/Oct/2023:22:58:37 +0530] "GET /HotelLivya_ServletApp/Food.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2023:22:58:43 +0530] "GET /HotelLivya_ServletApp/HotelRoom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2023:22:58:43 +0530] "GET /HotelLivya_ServletApp/HotelRoom.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2023:22:58:48 +0530] "GET /HotelLivya_ServletApp/preview1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2023:22:58:48 +0530] "GET /HotelLivya_ServletApp/SweetDiningRoom.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2023:22:58:48 +0530] "GET /HotelLivya_ServletApp/SweetBathroom.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2023:22:58:48 +0530] "GET /HotelLivya_ServletApp/SweetBedroom.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2023:22:58:48 +0530] "GET /HotelLivya_ServletApp/SeeetRestRoom.jpg HTTP/1.1" 304 -
